course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4,class,degree,enrollment,online,in_person,blended_learning
English Language and Literature,Amrita University,"Coimbatore, India","Integrated B.A. - M.A. English Language and Literature is the program offered at School of Arts and Sciences, Kochi at the Amrita University. Exit option with B.A. Degree after 6th Semester","1,729 EUR / year",month,60.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Information Technology (Applied Computer Science),University of Southern Queensland,"Toowoomba, Queensland, Australia",The Bachelor of Information Technology (Applied Computer Science) from University of Southern Queensland is a vocationally-oriented program which emphasises problem solving through the use of information technology. This program focuses on the effective analysis development and management of information and communication technologies in organisations.,"17,325 EUR / year",month,36.0,Bachelor,Full-time,Part-time,Online,,Bachelor's,Bachelor,Full-time & Part-time,Yes,Yes,No
Computer Science and Information Systems,The University of Vermont,"Burlington, Vermont, United States",The Computer Science and Information Systems degree offered by University of Vermont combines a computer science major with the business core.,"35,678 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Management Information Systems,Yasar University,"Izmir, Turkey","The Management Information Systems programme from Yasar University offers education and training as a 4 year Higher Education Undergraduate Program in the School of Applied Sciences, Ya?ar University. Management Information Systems; is an interdisciplinary field of both in science and in social science that incorporates the concepts of information, management, and computer. ","6,050 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computer Science - Computer Information Systems,Saint Peter's University,"Jersey City, New Jersey, United States","From every aspect of business to everyday life, computers are being utilized more and more every day. With the growth of computers, the job market for software engineers, network designers, security experts and “big data” analysts has risen to an all-time high.","30,532 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Real Estate (Hons),Birmingham City University,"Birmingham, England, United Kingdom",Prepare for an exciting and challenging career in a range of property areas with the Real Estate (Hons) course at Birmingham City University.,"14,089 EUR / year",month,36.0,B.Sc.,Full-time,Part-time,,,Bachelor's,B.Sc.,Full-time & Part-time,No,No,No
Security and Risk Analysis - Information and Cyber Security Option,Penn State World Campus,Online,"Security and Risk Analysis - Information and Cyber Security Option from Penn State World Campus focuses on the technologies, education, and policies to protect people, information, and other assets.",498 EUR / credit,month,48.0,B.Sc.,Part-time,,,,Bachelor's,B.Sc.,Part-time,No,No,No
Biochemistry - Bioinformatics,Mississippi State University,"Starkville, Mississippi, United States","If you are interested in pursuing medical school at the completion of your undergraduate degree, Biochemistry - Bioinformatics is a great major at Mississippi State University.","20,700 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information and Documentation,University of Valencia,"Valencia, Spain","A degree-holder in Information and Documentation at the University of Valencia is aware of the theoretical principles and techniques that are needed to search for, organise and evaluate information, as well as to understand how to plan the systems, units and services dedicated to information.",,month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Health Informatics and Information Management,University of Central Florida,"Orlando, Florida, United States","The Health Informatics and Information Management course from University of Central Florida may be completed fully online, although not all elective options or program prerequisites may be offered online. ",183 EUR / credit,month,48.0,B.Sc.,Full-time,Online,,,Bachelor's,B.Sc.,Full-time,Yes,Yes,No
Computer Science with Artificial Intelligence,University of Southampton,"Southampton, England, United Kingdom","This four-year degree in MEng Computer Science with Artificial Intelligence, offered by University of Southampton, will help you to build on a thorough grounding in computer science, allowing you the opportunity to specialise and gain a greater understanding of the practical industrial applications of artificial intelligence.","23,752 EUR / year",month,48.0,B.Eng.,Full-time,,,,Bachelor's,B.Eng.,Full-time,No,No,No
"Mathematics, Operational Research and Statistics with a Year Abroad",Cardiff University,"Cardiff, Wales, United Kingdom","This Mathematics, Operational Research and Statistics with a Year Abroad course from Cardiff University will equip you with the skills, methods and ways of thinking you need to become a confident statistical analyst. You will be able to tackle complex organisational problems using methods such as data collection, statistical modelling and simulation.","24,160 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Mathematics and Statistics,University of Nebraska Kearney,"Kearney, Nebraska, United States","The Department of Mathematics and Statistics at the University of Nebraska at Kearney offers undergraduate degree programs in Mathematics and Mathematics Education, as well as graduate courses in the Science/Math Education Master of Science in Education degree program.","43,166 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Management Information Systems - Financial Systems Assurance and Security Emphasis,Northern State University,"Aberdeen, South Dakota, United States","When you complete the Management Information Systems - Financial Systems Assurance and Security Emphasis program at Northern State University, you'll be at the forefront of information systems technology essential to all modern organizations. An MIS degree from Northern will give you a strong background in enterprise systems and robust technology skills.","9,171 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Business Administration - Management Information Systems (MIS),Texas A&M Texarkana,"Texarkana, Texas, United States","The Business Administration - Management Information Systems (MIS) program at Texas A&M Texarkana prepares our students to maximize the utilization of systems in the business world. As the world business community goes more cyber, updated systems skills are needed to maximize the profitability of the business. ","17,307 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Information Systems and Informatics,The City University of New York,"New York City, New York, United States","The program in Information Systems and Informatics, offered as an interdisciplinary collaboration between the Departments of Marketing and Computer Science, at The City University of New York, provides students with core business and technical competencies to traverse the boundary between management and computer information technology. ","16,076 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
