course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4
Data and Business Analytics,Rennes School of Business,"Rennes, France",The objective of the MSc in Data and Business Analytics (MSc DBAN) is to equip graduates with key analytical methods and tools that will allow them to become leaders in data-driven decision making.,"12,825 EUR / year",month,16,M.Sc.,Full-time,,,
Applied Data Analytics,Boston University,"Boston, Massachusetts, United States",The Master of Science in Applied Data Analytics program at Boston University provides students with solid knowledge of the foundations of data analytics and emphasizes the presentation and discussion of the latest industry tools and approaches within an academically rigorous framework.,"47,451 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science and Analytics,University of Missouri - Columbia,"Columbia, Missouri, United States","Data scientists routinely leverage tools and techniques from computer science, information systems, advanced statistics, and machine learning. To satisfy the growing need for data scientist who can transform large collections of data into actionable decision making products for their employers, we are proposing the Master of Science in Data Science and Analytics. ","23,491 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science,Swiss Federal Institute of Technology Lausanne,"Lausanne, Switzerland","The Master program in Data Science from Swiss Federal Institute of Technology Lausanne offers you a comprehensive education, from the foundations to implementation, from algorithms to database architecture, and from information theory to machine learning. ","1,374 EUR / year",month,24,M.Sc.,Full-time,,,
Systems Medicine,Georgetown University,"Washington, D. C., Washington, D.C., United States",Georgetown University’s unique master's in Systems Medicine is the first in the Nation to train students in a new era of BIG DATA and –Omics.,"1,855 EUR / credit",month,10,M.Sc.,Full-time,Part-time,,
Data Science,Saint Mary's College,Online,"At this Data Science program offered by Saint Mary's College, you'll develop a strong mathematical base - an enduring skill set in an ever-changing world - that will allow you to take on complex data challenges now and in the future, no matter what programming language you're using.",585 EUR / credit,month,24,M.Sc.,Full-time,,,
Business Administration - Data Analytics,Tiffin University,"Tiffin, Ohio, United States","More than ever, today’s global economy requires a deeper understanding of products, customers, competitors and strategies. The world of business is quickly converging to a personalized market for goods and services that requires a thorough understanding of what customers want, when they want it. Learn more in the Business Administration - Data Analytics program at Tiffin University.","10,926 EUR / year",month,20,M.B.A.,Full-time,Online,,
Data Science,Texas Tech University,"Lubbock, Texas, United States",The College of Business if offering a Master of Science in Data Science at Texas Tech University.     ,"13,225 EUR / year",month,12,M.Sc.,Full-time,Online,,
Data Science and Artificial Intelligence,Data ScienceTech Institute,Multiple locations,"This Data Science and Artificial Intelligence programme at Data ScienceTech Institute, with its two entries in Autumn and Spring, is a programme designed to bring students to the scientific heart of Data Science and Artificial Intelligence.","14,500 EUR / year",month,12,M.Sc.,Full-time,Part-time,Blended Learning,Online
Data Analytics (Online),Northern Illinois University,Online,"The Master of Science in Data Analytics (Online) degree at Northern Illinois University is an intensive, 100 percent online program that will prepare you for the fastest-growing jobs in data science and data analytics.",774 EUR / credit,,,M.Sc.,Part-time,,,
Data Science (Computer Science),Lewis University,Online,The online Master of Science in Data Science for Computer Scientists concentration at Lewis University is designed to give you an understanding of managing big data across a variety of computer platforms.,694 EUR / credit,month,24,M.Sc.,Part-time,,,
Data Science,St. John's University,"New York City, New York, United States",Data Science from St. John's University prepares students for related careers that involve the application of computational and statistical techniques that are becoming more vital to industry and research. ,"1,132 EUR / credit",month,12,M.Sc.,Full-time,,,
Data Science (Online),"University of California, Riverside",Online,"Prepare yourself to become a leader in the growing field of data analysis with a Master of Science in Engineering in Data Science (Online) from the University of California, Riverside.",,month,13,M.Sc.,Full-time,,,
Data Science,University of Wisconsin Green Bay,Online,Data Science from University of Wisconsin Green Bay is entirely online and will teach you how to harness the power of big data using the latest tools and analytical methods.,"1,837 EUR / year",month,12,M.Sc.,Part-time,,,
